Entity,Year,Under_5,Yrs_5-14,Yrs_15-49,Yrs_50-69,Yrs_70_plus
World,1991,11770583.46,1320668.58,6998561.159,10835045.42,15553455.51
World,1992,11605389.94,1360630.815,7215875.777,10997536.2,15897497.69
World,1993,11366185.46,1339851.971,7409313.34,11163428.52,16219133.44
World,1994,11152128.81,1341331.408,7677472.697,11394619.59,16675696.49
World,1995,11008787.48,1392302.849,8219800.586,11561078.37,17013628.83
World,1996,10758898.91,1304178.83,8128532.28,11560626.82,17331268.11
World,1997,10529502.85,1282067.98,8229901.698,11550433.07,17585233.07
World,1998,10331454.13,1270317.696,8364786.178,11603794.26,17940312.21
World,1999,10133485.49,1247279.288,8500694.081,11590584.46,18362365.1
World,2000,9914475.449,1221068.006,8745663.356,11616913.28,18785361.98
World,2001,9680867.048,1187037.793,8820399.506,11681476.81,19172223.62
World,2002,9419629.483,1151410.534,8745273.001,11771457.55,19574557.76
World,2003,9168958.177,1075229.275,8741064.356,11948900.31,20071980.66
World,2004,8896686.821,1013790.168,8683792.032,12121358.86,20538529.85
World,2005,8654217.24,1048991.118,8785639.427,12144805.73,20693269.05
World,2006,8382982.615,1017887.659,8751136.094,12211203.91,21060053.05
World,2007,8116644.544,966975.6017,8642137.725,12151931.57,21228700.55
World,2008,7854038.325,936657.6167,8570431.379,12227540.85,21618352.41
World,2009,7615344.441,949579.7461,8676241.563,12407020.12,22255375.63
World,2010,7354972.372,911628.2813,8508622.724,12467500,22829369.91
World,2011,7144787.838,945795.9708,8551119.093,12713654.29,23482954.32
World,2012,6890950.702,889229.5474,8294948.794,12872084.2,23946781.84
World,2013,6652497.04,862999.7301,8112426.392,13154911.97,24319611.05
World,2014,6405371.449,838898.4828,7949361.639,13477329.37,24602902.5
World,2015,6170685.55,816867.2821,7864767.521,13947470.02,25136329.4
World,2016,5917284.965,775067.527,7733922.247,14502428.09,25893490.23
World,2017,5632709.153,754468.9131,7685805.981,14884237.45,26552330.82
World,2018,5391562.259,731743.3678,7614024.002,14998634.7,27209765.4
