Entity,Code,Year,Deaths
Afghanistan,AFG,2018,89.89175884
Albania,ALB,2018,98.2361137
Algeria,DZA,2018,60.41187263
American Samoa,ASM,2018,73.53796691
Andorra,AND,2018,57.76983271
Angola,AGO,2018,87.57827391
Antigua and Barbuda,ATG,2018,38.4235104
Argentina,ARG,2018,96.50562687
Armenia,ARM,2018,116.9049207
Australia,AUS,2018,50.82643754
Austria,AUT,2018,63.64742712
Azerbaijan,AZE,2018,142.203312
Bahamas,BHS,2018,42.93432045
Bahrain,BHR,2018,45.8463997
Bangladesh,BGD,2018,80.06533729
Barbados,BRB,2018,34.30293608
Belarus,BLR,2018,134.8274856
Belgium,BEL,2018,84.0637359
Belize,BLZ,2018,51.52107824
Benin,BEN,2018,45.24862603
Bermuda,BMU,2018,48.71336609
Bhutan,BTN,2018,54.18762201
Bolivia,BOL,2018,49.83994108
Bosnia and Herzegovina,BIH,2018,141.7362511
Botswana,BWA,2018,74.19458052
Brazil,BRA,2018,74.85027719
Brunei,BRN,2018,104.5636837
Bulgaria,BGR,2018,141.2078719
Burkina Faso,BFA,2018,36.26698362
Burundi,BDI,2018,67.48647767
Cambodia,KHM,2018,128.8397073
Cameroon,CMR,2018,45.91375531
Canada,CAN,2018,70.30139157
Cape Verde,CPV,2018,29.29560126
Central African Republic,CAF,2018,112.5704388
Chad,TCD,2018,31.58328252
Chile,CHL,2018,44.70387644
China,CHN,2018,120.2175572
Colombia,COL,2018,35.97617594
Comoros,COM,2018,41.30663157
Congo,COG,2018,67.39426961
Costa Rica,CRI,2018,45.06319657
Cote d'Ivoire,CIV,2018,59.95804263
Croatia,HRV,2018,105.0277661
Cuba,CUB,2018,97.76632196
Cyprus,CYP,2018,77.61202628
Czech Republic,CZE,2018,97.95603547
Democratic Republic of Congo,COD,2018,48.23186082
Denmark,DNK,2018,97.11957723
Djibouti,DJI,2018,68.21835964
Dominica,DMA,2018,40.56674657
Dominican Republic,DOM,2018,85.93314443
Ecuador,ECU,2018,33.13788959
Egypt,EGY,2018,122.6921234
El Salvador,SLV,2018,38.82060686
Equatorial Guinea,GNQ,2018,39.50671447
Eritrea,ERI,2018,48.88004036
Estonia,EST,2018,81.79090725
Ethiopia,ETH,2018,25.32089741
Fiji,FJI,2018,121.5020213
Finland,FIN,2018,45.18420836
France,FRA,2018,57.40011156
Gabon,GAB,2018,62.18501318
Gambia,GMB,2018,72.57536087
Georgia,GEO,2018,116.2025421
Germany,DEU,2018,73.9993414
Ghana,GHA,2018,40.92843416
Greece,GRC,2018,100.0396022
Greenland,GRL,2018,185.65073
Grenada,GRD,2018,56.43999484
Guam,GUM,2018,63.8437173
Guatemala,GTM,2018,36.91625368
Guinea,GIN,2018,42.39267416
Guinea-Bissau,GNB,2018,44.26223792
Guyana,GUY,2018,67.23038257
Haiti,HTI,2018,62.34454384
Honduras,HND,2018,70.26640326
Hungary,HUN,2018,126.1236642
Iceland,ISL,2018,58.22541354
India,IND,2018,91.57628926
Indonesia,IDN,2018,116.4797803
Iran,IRN,2018,59.50252218
Iraq,IRQ,2018,54.05199986
Ireland,IRL,2018,76.07659241
Israel,ISR,2018,52.5020783
Italy,ITA,2018,55.23594671
Jamaica,JAM,2018,74.98659254
Japan,JPN,2018,52.15777396
Jordan,JOR,2018,65.82876443
Kazakhstan,KAZ,2018,118.9759132
Kenya,KEN,2018,50.34730039
Kiribati,KIR,2018,266.1345977
Kuwait,KWT,2018,42.30328714
Kyrgyzstan,KGZ,2018,88.87143962
Laos,LAO,2018,141.1888983
Latvia,LVA,2018,105.8184643
Lebanon,LBN,2018,113.5742388
Lesotho,LSO,2018,156.3510336
Liberia,LBR,2018,50.45470127
Libya,LBY,2018,62.18566953
Lithuania,LTU,2018,101.0045372
Luxembourg,LUX,2018,67.78226523
Macedonia,MKD,2018,125.8452258
Madagascar,MDG,2018,54.29157552
Malawi,MWI,2018,54.61345689
Malaysia,MYS,2018,99.55747769
Maldives,MDV,2018,65.14218307
Mali,MLI,2018,34.60573664
Malta,MLT,2018,69.10718452
Marshall Islands,MHL,2018,130.5187038
Mauritania,MRT,2018,26.34414353
Mauritius,MUS,2018,69.96643467
Mexico,MEX,2018,47.72622386
Micronesia (country),FSM,2018,116.2040408
Moldova,MDA,2018,112.2906222
Mongolia,MNG,2018,136.9997837
Montenegro,MNE,2018,169.0407861
Morocco,MAR,2018,59.05597812
Mozambique,MOZ,2018,90.9997098
Myanmar,MMR,2018,175.0551054
Namibia,NAM,2018,89.26940988
Nepal,NPL,2018,124.9786114
Netherlands,NLD,2018,87.7176378
New Zealand,NZL,2018,53.65833744
Nicaragua,NIC,2018,33.37594071
Niger,NER,2018,24.04398606
Nigeria,NGA,2018,17.71823834
North Korea,PRK,2018,117.8129974
Northern Mariana Islands,MNP,2018,54.05580726
Norway,NOR,2018,60.00948624
Oman,OMN,2018,51.07297136
Pakistan,PAK,2018,128.6634632
Palestine,PSE,2018,49.91136595
Panama,PAN,2018,38.56573761
Papua New Guinea,PNG,2018,244.8949709
Paraguay,PRY,2018,85.88360054
Peru,PER,2018,22.79649502
Philippines,PHL,2018,140.1331251
Poland,POL,2018,108.8817663
Portugal,PRT,2018,50.88182691
Puerto Rico,PRI,2018,25.92508406
Qatar,QAT,2018,38.36612414
Romania,ROU,2018,111.9259673
Russia,RUS,2018,130.2112147
Rwanda,RWA,2018,83.59330312
Saint Lucia,LCA,2018,54.41995586
Saint Vincent and the Grenadines,VCT,2018,50.97440259
Samoa,WSM,2018,140.4268724
Sao Tome and Principe,STP,2018,40.31985686
Saudi Arabia,SAU,2018,34.81449363
Senegal,SEN,2018,33.89544366
Serbia,SRB,2018,152.9469705
Seychelles,SYC,2018,85.07882193
Sierra Leone,SLE,2018,70.66273869
Singapore,SGP,2018,35.63097321
Slovakia,SVK,2018,90.19926022
Slovenia,SVN,2018,69.14600069
Solomon Islands,SLB,2018,168.7374538
Somalia,SOM,2018,80.40854087
South Africa,ZAF,2018,69.72214681
South Korea,KOR,2018,57.67559427
South Sudan,SSD,2018,68.30875543
Spain,ESP,2018,65.14343429
Sri Lanka,LKA,2018,54.60952927
Sudan,SDN,2018,15.85311236
Suriname,SUR,2018,82.81229445
Swaziland,SWZ,2018,100.2284075
Sweden,SWE,2018,58.05134838
Switzerland,CHE,2018,53.12136525
Syria,SYR,2018,81.06232443
Taiwan,TWN,2018,71.61987392
Tajikistan,TJK,2018,85.27113038
Tanzania,TZA,2018,69.51563527
Thailand,THA,2018,58.4009586
Timor,TLS,2018,108.9246043
Togo,TGO,2018,44.11068662
Tonga,TON,2018,105.4222792
Trinidad and Tobago,TTO,2018,55.97311224
Tunisia,TUN,2018,94.17382122
Turkey,TUR,2018,89.08162151
Turkmenistan,TKM,2018,98.13742939
Uganda,UGA,2018,43.84270944
Ukraine,UKR,2018,153.5581795
United Arab Emirates,ARE,2018,65.70075169
United Kingdom,GBR,2018,69.49560898
United States,USA,2018,75.60550275
United States Virgin Islands,VIR,2018,44.44692968
Uruguay,URY,2018,89.16342953
Uzbekistan,UZB,2018,99.12904106
Vanuatu,VUT,2018,145.9839397
Venezuela,VEN,2018,59.09733539
Vietnam,VNM,2018,99.31713746
Yemen,YEM,2018,103.0833773
Zambia,ZMB,2018,76.9770639
Zimbabwe,ZWE,2018,138.5222673
